Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
3/27/1990,Brooklyn,New York,urban,College,0,1,March,1990,Tuesday,Northeast,Low
5/20/1990,Centerville,Tennessee,suburban,High School,1,Unknown,May,1990,Sunday,South,Low
8/26/1990,Las Vegas,Nevada,urban,High School,1,Unknown,August,1990,Sunday,West,Low
9/11/1990,San Antonio,Texas,urban,High School,0,3,September,1990,Tuesday,South,Medium
1/8/1991,Richardson,Texas,urban,High School,0,Unknown,January,1991,Tuesday,South,Low
2/6/1991,Donna,Texas,suburban,High School,1,0,February,1991,Wednesday,South,Low
4/23/1991,Compton,California,urban,Middle School,1,0,April,1991,Tuesday,West,Low
9/18/1991,Crosby,Texas,suburban,High School,1,0,September,1991,Wednesday,South,Low
10/8/1991,Bronx,New York,urban,High School,1,Unknown,October,1991,Tuesday,Northeast,Low
11/1/1991,Iowa City,Iowa,urban,College,6,1,November,1991,Friday,Midwest,High
11/14/1991,Houston,Texas,urban,High School,0,Unknown,November,1991,Thursday,South,Low
11/25/1991,Brooklyn,New York,urban,High School,1,0,November,1991,Monday,Northeast,Low
12/12/1991,Kent,Ohio,suburban,College,1,0,December,1991,Thursday,Midwest,Low
1/29/1992,Kent,Ohio,suburban,College,0,1,January,1992,Wednesday,Midwest,Low
2/26/1992,Brooklyn,New York,urban,High School,2,0,February,1992,Wednesday,Northeast,Low
5/1/1992,Olivehurst,California,rural,High School,3,10,May,1992,Friday,West,High
5/14/1992,Napa,California,urban,Middle School,0,Unknown,May,1992,Thursday,West,Low
9/11/1992,Lincoln,Texas,urban,High School,0,Unknown,September,1992,Friday,South,Low
10/12/1992,Lincoln,Nebraska,urban,College,0,Unknown,October,1992,Monday,Midwest,Low
10/12/1992,Tucson,Arizona,urban,High School,1,Unknown,October,1992,Monday,West,Low
10/19/1992,The Bronx,New York,urban,High School,0,3,October,1992,Monday,Northeast,Medium
11/4/1992,Detroit,Michigan,urban,High School,0,11,November,1992,Wednesday,Midwest,High
11/10/1992,Chicago,Illinois,urban,Elementry School,0,Unknown,November,1992,Tuesday,Midwest,Low
11/13/1992,Houston,Texas,urban,High School,1,Unknown,November,1992,Friday,South,Low
11/16/1992,Birmingham,Alabama,urban,High School,1,Unknown,November,1992,Monday,South,Low
11/20/1992,Chicago,Illinois,urban,High School,1,Unknown,November,1992,Friday,Midwest,Low
11/23/1992,Buffalo,New York,urban,High School,0,Unknown,November,1992,Monday,Northeast,Low
12/3/1992,Chicago,Illinois,urban,Elementry School,1,Unknown,December,1992,Thursday,Midwest,Low
12/14/1992,Great Barrington,Massachusetts,rural,College,2,4,December,1992,Monday,Northeast,High
1/6/1993,Brentwood,New York,suburban,High School,0,1,January,1993,Wednesday,Northeast,Low
1/8/1993,Kinzers,Pennsylvania,rural,High School,1,Unknown,January,1993,Friday,Northeast,Low
1/12/1993,Miami,Florida,urban,High School,1,Unknown,January,1993,Tuesday,South,Low
1/18/1993,Grayson,Kentucky,rural,High School,2,0,January,1993,Monday,South,Low
1/21/1993,Los Angeles,California,urban,High School,1,Unknown,January,1993,Thursday,West,Low
2/1/1993,Redmond,Washington,urban,Middle School,1,Unknown,February,1993,Monday,West,Low
2/1/1993,Amityville,New York,suburban,High School,1,Unknown,February,1993,Monday,Northeast,Low
2/4/1993,Clayton County,Georgia,urban,High School,1,Unknown,February,1993,Thursday,South,Low
2/8/1993,Middle River,Minnesota,rural,Middle School,1,Unknown,February,1993,Monday,Midwest,Low
2/8/1993,Washington DC,District of Columbia,urban,High School,1,Unknown,February,1993,Monday,South,Low
2/18/1993,Dallas,Texas,urban,High School,1,Unknown,February,1993,Thursday,South,Low
2/22/1993,Los Angeles,California,urban,High School,1,0,February,1993,Monday,West,Low
2/26/1993,Gloucester,Massachusetts,suburban,High School,0,Unknown,February,1993,Friday,Northeast,Low
3/18/1993,Harlem,Georgia,suburban,High School,1,Unknown,March,1993,Thursday,South,Low
3/25/1993,St. Louis,Missouri,urban,High School,1,Unknown,March,1993,Thursday,Midwest,Low
4/3/1993,Sacramento,California,urban,High School,1,Unknown,April,1993,Saturday,West,Low
4/14/1993,Irving,Texas,urban,High School,1,Unknown,April,1993,Wednesday,South,Low
4/15/1993,Acushnet,Massachusetts,suburban,Middle School,1,0,April,1993,Thursday,Northeast,Low
4/16/1993,Sacramento,California,urban,High School,1,Unknown,April,1993,Friday,West,Low
4/26/1993,Raleigh,North Carolina,urban,High School,1,Unknown,April,1993,Monday,South,Low
5/14/1993,Irving,Texas,urban,High School,1,0,May,1993,Friday,South,Low
5/24/1993,Red Hill,Pennsylvania,rural,High School,1,Unknown,May,1993,Monday,Northeast,Low
5/24/1993,Pennsburg,Pennsylvania,rural,High School,1,0,May,1993,Monday,Northeast,Low
5/27/1993,New Orleans,Louisiana,urban,High School,1,Unknown,May,1993,Thursday,South,Low
7/8/1993,Ogden,Utah,urban,College,1,Unknown,July,1993,Thursday,West,Low
8/31/1993,Atlanta,Georgia,urban,High School,1,Unknown,August,1993,Tuesday,South,Low
9/2/1993,Dallas,Texas,urban,High School,1,Unknown,September,1993,Thursday,South,Low
9/17/1993,Sheridan,Wyoming,rural,Middle School,1,4,September,1993,Friday,West,Medium
9/18/1993,Sheridan,Wyoming,suburban,Middle School,1,Unknown,September,1993,Saturday,West,Low
10/12/1993,New Castle,Delaware,suburban,High School,1,Unknown,October,1993,Tuesday,South,Low
10/14/1993,Detroit,Michigan,urban,High School,1,Unknown,October,1993,Thursday,Midwest,Low
11/1/1993,Chicago,Illinois,urban,High School,1,Unknown,November,1993,Monday,Midwest,Low
11/4/1993,Jacksonville,Florida,urban,High School,1,Unknown,November,1993,Thursday,South,Low
11/4/1993,New Britain,Connecticut,urban,High School,1,0,November,1993,Thursday,Northeast,Low
11/5/1993,Bay Springs,Mississippi,rural,High School,1,Unknown,November,1993,Friday,South,Low
11/29/1993,Kansas City,Missouri,urban,High School,1,Unknown,November,1993,Monday,Midwest,Low
12/1/1993,Wauwatosa,Wisconsin,suburban,High School,1,0,December,1993,Wednesday,Midwest,Low
12/8/1993,Savannah,Georgia,urban,High School,1,Unknown,December,1993,Wednesday,South,Low
12/17/1993,Chelsea,Michigan,suburban,High School,1,Unknown,December,1993,Friday,Midwest,Low
1/20/1994,Kennard,Texas,rural,High School,0,Unknown,January,1994,Thursday,South,Low
1/20/1994,Hacienda Heights,California,urban,High School,1,Unknown,January,1994,Thursday,West,Low
1/24/1994,Columbia,South Carolina,urban,High School,1,0,January,1994,Monday,South,Low
1/31/1994,Seattle,Washington,urban,Middle School,1,0,January,1994,Monday,West,Low
2/8/1994,Detroit,Michigan,urban,High School,1,Unknown,February,1994,Tuesday,Midwest,Low
2/14/1994,Belmont,California,suburban,High School,1,Unknown,February,1994,Monday,West,Low
2/18/1994,Spartanburg,South Carolina,suburban,High School,0,1,February,1994,Friday,South,Low
3/1/1994,Boonville,Missouri,rural,High School,2,0,March,1994,Tuesday,Midwest,Low
3/15/1994,Charleston,South Carolina,urban,High School,1,Unknown,March,1994,Tuesday,South,Low
3/22/1994,Riveria Beach,Florida,urban,Middle School,0,Unknown,March,1994,Tuesday,South,Low
3/23/1994,Seattle,Washington,urban,High School,1,Unknown,March,1994,Wednesday,West,Low
3/25/1994,Woodstock,Georgia,suburban,High School,0,Unknown,March,1994,Friday,South,Low
4/12/1994,Butte,Montana,rural,Elementry School,1,0,April,1994,Tuesday,West,Low
