Date,City,State,AreaType,School,Fatalities,Wounded,Month,Day of Week,Region,Severity
3/27/1990,Brooklyn,New York,urban,C,0,1,March,Tuesday,Northeast,Low
5/20/1990,Centerville,Tennessee,suburban,HS,1,Unknown,May,Sunday,South,Low
8/26/1990,Las Vegas,Nevada,urban,HS,1,Unknown,August,Sunday,West,Low
9/11/1990,San Antonio,Texas,urban,HS,0,3,September,Tuesday,South,Medium
1/8/1991,Richardson,Texas,urban,HS,0,Unknown,January,Tuesday,South,Low
2/6/1991,Donna,Texas,suburban,HS,1,0,February,Wednesday,South,Low
4/23/1991,Compton,California,urban,MS,1,Unknown,April,Tuesday,West,Low
4/23/1991,Compton,California,urban,MS,1,0,April,Tuesday,West,Low
9/18/1991,Crosby,Texas,rural,HS,1,Unknown,September,Wednesday,South,Low
9/18/1991,Crosby,Texas,suburban,HS,1,0,September,Wednesday,South,Low
10/8/1991,Bronx,New York,urban,HS,1,Unknown,October,Tuesday,Northeast,Low
11/1/1991,Iowa City,Iowa,urban,C,5,Unknown,November,Friday,Midwest,Medium
11/1/1991,Iowa City,Iowa,urban,C,6,1,November,Friday,Midwest,High
11/14/1991,Houston,Texas,urban,HS,0,Unknown,November,Thursday,South,Low
11/25/1991,Brooklyn,New York,urban,HS,1,Unknown,November,Monday,Northeast,Low
11/25/1991,Brooklyn,New York,urban,HS,1,0,November,Monday,Northeast,Low
12/12/1991,Kent,Ohio,suburban,C,1,0,December,Thursday,Midwest,Low
1/29/1992,Kent,Ohio,suburban,C,0,1,January,Wednesday,Midwest,Low
2/26/1992,Brooklyn,New York,urban,HS,2,Unknown,February,Wednesday,Northeast,Low
2/26/1992,Brooklyn,New York,urban,HS,2,0,February,Wednesday,Northeast,Low
5/1/1992,Olivehurst,California,suburban,HS,4,Unknown,May,Friday,West,Medium
5/1/1992,Olivehurst,California,rural,HS,3,10,May,Friday,West,High
5/14/1992,Napa,California,urban,MS,0,Unknown,May,Thursday,West,Low
9/11/1992,Lincoln,Texas,urban,HS,0,Unknown,September,Friday,South,Low
10/12/1992,Lincoln,Nebraska,urban,C,0,Unknown,October,Monday,Midwest,Low
10/12/1992,Tucson,Arizona,urban,HS,1,Unknown,October,Monday,West,Low
10/19/1992,The Bronx,New York,urban,HS,0,3,October,Monday,Northeast,Medium
11/4/1992,Detroit,Michigan,urban,HS,0,11,November,Wednesday,Midwest,High
11/10/1992,Chicago,Illinois,urban,ES,0,Unknown,November,Tuesday,Midwest,Low
11/13/1992,Houston,Texas,urban,HS,1,Unknown,November,Friday,South,Low
11/16/1992,Birmingham,Alabama,urban,HS,1,Unknown,November,Monday,South,Low
11/20/1992,Chicago,Illinois,urban,HS,1,Unknown,November,Friday,Midwest,Low
11/23/1992,Buffalo,New York,urban,HS,0,Unknown,November,Monday,Northeast,Low
12/3/1992,Chicago,Illinois,urban,ES,1,Unknown,December,Thursday,Midwest,Low
12/14/1992,Great Barrington,Massachusetts,suburban,C,2,Unknown,December,Monday,Northeast,Low
12/14/1992,Great Barrington,Massachusetts,rural,C,2,4,December,Monday,Northeast,High
1/6/1993,Brentwood,New York,suburban,HS,0,1,January,Wednesday,Northeast,Low
1/8/1993,Kinzers,Pennsylvania,rural,HS,1,Unknown,January,Friday,Northeast,Low
1/12/1993,Miami,Florida,urban,HS,1,Unknown,January,Tuesday,South,Low
1/18/1993,Grayson,Kentucky,suburban,HS,2,Unknown,January,Monday,South,Low
1/18/1993,Grayson,Kentucky,rural,HS,2,0,January,Monday,South,Low
1/21/1993,Los Angeles,California,urban,HS,1,Unknown,January,Thursday,West,Low
2/1/1993,Redmond,Washington,urban,MS,1,Unknown,February,Monday,West,Low
2/1/1993,Amityville,New York,suburban,HS,1,Unknown,February,Monday,Northeast,Low
2/4/1993,Clayton County,Georgia,urban,HS,1,Unknown,February,Thursday,South,Low
2/8/1993,Middle River,Minnesota,rural,MS,1,Unknown,February,Monday,Unknown,Low
2/8/1993,Washington DC,District of Columbia,urban,HS,1,Unknown,February,Monday,South,Low
2/18/1993,Dallas,Texas,urban,HS,1,Unknown,February,Thursday,South,Low
2/22/1993,Los Angeles,California,urban,HS,1,Unknown,February,Monday,West,Low
2/22/1993,Los Angeles,California,urban,HS,1,0,February,Monday,West,Low
2/26/1993,Gloucester,Massachusetts,suburban,HS,0,Unknown,February,Friday,Northeast,Low
3/18/1993,Harlem,Georgia,suburban,HS,1,Unknown,March,Thursday,South,Low
3/25/1993,St. Louis,Missouri,urban,HS,1,Unknown,March,Thursday,Midwest,Low
4/3/1993,Sacramento,California,urban,HS,1,Unknown,April,Saturday,West,Low
4/14/1993,Irving,Texas,urban,HS,1,Unknown,April,Wednesday,South,Low
4/15/1993,Acushnet,Massachusetts,suburban,MS,1,Unknown,April,Thursday,Northeast,Low
4/15/1993,Acushnet,Massachusetts,suburban,MS,1,0,April,Thursday,Northeast,Low
4/16/1993,Sacramento,California,urban,HS,1,Unknown,April,Friday,West,Low
4/26/1993,Raleigh,North Carolina,urban,HS,1,Unknown,April,Monday,South,Low
5/14/1993,Irving,Texas,urban,HS,1,0,May,Friday,South,Low
5/24/1993,Red Hill,Pennsylvania,rural,HS,1,Unknown,May,Monday,Northeast,Low
5/24/1993,Pennsburg,Pennsylvania,rural,HS,1,0,May,Monday,Northeast,Low
5/27/1993,New Orleans,Louisiana,urban,HS,1,Unknown,May,Thursday,South,Low
7/8/1993,Ogden,Utah,urban,C,1,Unknown,July,Thursday,West,Low
8/31/1993,Atlanta,Georgia,urban,HS,1,Unknown,August,Tuesday,South,Low
9/2/1993,Dallas,Texas,urban,HS,1,Unknown,September,Thursday,South,Low
9/17/1993,Sheridan,Wyoming,rural,MS,1,4,September,Friday,West,Medium
9/18/1993,Sheridan,Wyoming,suburban,MS,1,Unknown,September,Saturday,West,Low
10/12/1993,New Castle,Delaware,suburban,HS,1,Unknown,October,Tuesday,South,Low
10/14/1993,Detroit,Michigan,urban,HS,1,Unknown,October,Thursday,Midwest,Low
11/1/1993,Chicago,Illinois,urban,HS,1,Unknown,November,Monday,Midwest,Low
11/4/1993,Jacksonville,Florida,urban,HS,1,Unknown,November,Thursday,South,Low
11/4/1993,New Britain,Connecticut,urban,HS,1,Unknown,November,Thursday,Northeast,Low
11/4/1993,New Britain,Connecticut,urban,HS,1,0,November,Thursday,Northeast,Low
11/5/1993,Bay Springs,Mississippi,rural,HS,1,Unknown,November,Friday,South,Low
11/29/1993,Kansas City,Missouri,urban,HS,1,Unknown,November,Monday,Midwest,Low
12/1/1993,Wauwatosa,Wisconsin,suburban,HS,1,Unknown,December,Wednesday,Midwest,Low
12/1/1993,Wauwatosa,Wisconsin,suburban,HS,1,0,December,Wednesday,Midwest,Low
12/8/1993,Savannah,Georgia,urban,HS,1,Unknown,December,Wednesday,South,Low
12/17/1993,Chelsea,Michigan,suburban,HS,1,Unknown,December,Friday,Midwest,Low
1/20/1994,Kennard,Texas,rural,HS,0,Unknown,January,Thursday,South,Low
1/20/1994,Hacienda Heights,California,urban,HS,1,Unknown,January,Thursday,West,Low
1/24/1994,Columbia,South Carolina,urban,HS,1,0,January,Monday,South,Low
1/26/1994,Columbia,South Carolina,urban,HS,1,Unknown,January,Wednesday,South,Low
1/31/1994,Seattle,Washington,urban,MS,1,Unknown,January,Monday,West,Low
1/31/1994,Seattle,Washington,urban,MS,1,0,January,Monday,West,Low
2/8/1994,Detroit,Michigan,urban,HS,1,Unknown,February,Tuesday,Midwest,Low
2/14/1994,Belmont,California,suburban,HS,1,Unknown,February,Monday,West,Low
2/18/1994,Spartanburg,South Carolina,suburban,HS,0,1,February,Friday,South,Low
3/1/1994,Boonville,Missouri,suburban,C,2,Unknown,March,Tuesday,Midwest,Low
3/1/1994,Boonville,Missouri,rural,HS,2,0,March,Tuesday,Midwest,Low
3/15/1994,Charleston,South Carolina,urban,HS,1,Unknown,March,Tuesday,South,Low
3/22/1994,Riveria Beach,Florida,urban,MS,0,Unknown,March,Tuesday,South,Low
3/23/1994,Seattle,Washington,urban,HS,1,Unknown,March,Wednesday,West,Low
3/25/1994,Woodstock,Georgia,suburban,HS,0,Unknown,March,Friday,South,Low
4/12/1994,Butte,Montana,suburban,ES,1,Unknown,April,Tuesday,West,Low
4/12/1994,Butte,Montana,rural,ES,1,0,April,Tuesday,West,Low
4/13/1994,Los Angeles,California,urban,ES,0,Unknown,April,Wednesday,West,Low
4/21/1994,Nashville,Tennessee,urban,MS,1,Unknown,April,Thursday,South,Low
4/21/1994,Nashville,Tennessee,urban,MS,1,0,April,Thursday,South,Low
5/2/1994,North Miami,Florida,suburban,HS,1,Unknown,May,Monday,South,Low
5/25/1994,Union,Kentucky,suburban,HS,4,Unknown,May,Wednesday,South,Medium
7/25/1994,Ottumwa,Iowa,suburban,HS,1,Unknown,July,Monday,Midwest,Low
9/7/1994,Hollywood,California,urban,HS,1,Unknown,September,Wednesday,West,Low
10/12/1994,Greensboro,North Carolina,urban,HS,1,Unknown,October,Wednesday,South,Low
10/12/1994,Greensboro,North Carolina,urban,HS,1,1,October,Wednesday,South,Low
10/17/1994,Chicago,Illinois,urban,HS,0,1,October,Monday,Midwest,Low
11/5/1994,San Leandro,California,urban,ES,1,Unknown,November,Saturday,West,Low
11/7/1994,Wickliffe,Ohio,suburban,MS,1,Unknown,November,Monday,Midwest,Low
11/7/1994,Wickliffe,Ohio,suburban,MS,1,4,November,Monday,Midwest,Medium
11/15/1994,Tacoma,Washington,urban,HS,1,Unknown,November,Tuesday,West,Low
12/14/1994,Albany,New York,urban,C,0,1,December,Wednesday,Northeast,Low
1/5/1995,Washington DC,District of Columbia,urban,HS,1,Unknown,January,Thursday,South,Low
1/10/1995,Palm Beach Gardens,Florida,suburban,HS,0,Unknown,January,Tuesday,South,Low
1/12/1995,Seattle,Washington,urban,HS,0,Unknown,January,Thursday,West,Low
1/12/1995,Seattle,Washington,urban,HS,0,2,January,Thursday,West,Low
1/23/1995,Redlands,California,urban,MS,1,Unknown,January,Monday,West,Low
1/26/1995,Chapel Hill,North Carolina,urban,C,2,Unknown,January,Thursday,South,Low
2/2/1995,Long Beach,California,urban,HS,1,Unknown,February,Thursday,West,Low
8/29/1995,Laredo,Texas,urban,MS,1,Unknown,August,Tuesday,South,Low
9/12/1995,Memphis,Tennessee,urban,HS,1,Unknown,September,Tuesday,South,Low
9/14/1995,Olathe,Kansas,urban,HS,2,Unknown,September,Thursday,Midwest,Low
9/29/1995,Tavares,Florida,urban,MS,1,Unknown,September,Friday,South,Low
9/29/1995,Tavares,Florida,suburban,MS,1,0,September,Friday,South,Low
10/12/1995,Blackville,South Carolina,rural,HS,1,Unknown,October,Thursday,South,Low
10/12/1995,Blackville,South Carolina,rural,HS,2,1,October,Thursday,South,Medium
11/15/1995,Lynnville,Tennessee,rural,HS,2,Unknown,November,Wednesday,South,Low
11/15/1995,Lynnville,Tennessee,rural,HS,2,1,November,Wednesday,South,Medium
11/28/1995,queens,New York,urban,HS,1,Unknown,November,Tuesday,Northeast,Low
1/19/1996,District of Columbia,District of Columbia,urban,MS,1,Unknown,January,Friday,South,Low
1/19/1996,Washington,D.C.,urban,HS,1,0,January,Friday,Unknown,Low
1/26/1996,memphis,Tennessee,urban,HS,1,Unknown,January,Friday,South,Low
2/2/1996,Moses Lake,Washington,suburban,MS,3,Unknown,February,Friday,West,Medium
